trip_id,start_time,end_time,headway_secs
20C-GLOBAUX-04-I_1_2,23:00:30,24:35:00,630
20C-GLOBAUX-04-I_2_1,05:29:57,05:48:47,565
20C-GLOBAUX-04-I_2_1,05:48:47,07:50:07,560
20C-GLOBAUX-04-I_2_1,07:50:07,08:27:07,555
20C-GLOBAUX-04-I_2_1,08:27:07,08:45:17,545
20C-GLOBAUX-04-I_2_1,08:45:17,08:54:07,530
20C-GLOBAUX-04-I_2_1,08:54:07,09:29:07,525
20C-GLOBAUX-04-I_2_1,09:29:07,09:37:45,518
20C-GLOBAUX-04-I_2_1,09:37:45,09:46:20,515
20C-GLOBAUX-04-I_2_1,09:46:20,09:54:58,518
20C-GLOBAUX-04-I_2_1,09:54:58,11:20:48,515
20C-GLOBAUX-04-I_2_1,11:20:48,11:29:26,518
20C-GLOBAUX-04-I_2_1,11:29:26,11:55:11,515
20C-GLOBAUX-04-I_2_1,11:55:11,12:03:11,480
20C-GLOBAUX-04-I_2_1,12:03:11,12:19:01,475
20C-GLOBAUX-04-I_2_1,12:19:01,12:26:57,476
20C-GLOBAUX-04-I_2_1,12:26:57,12:42:47,475
20C-GLOBAUX-04-I_2_1,12:42:47,14:04:47,410
20C-GLOBAUX-04-I_2_1,14:04:47,14:11:38,411
20C-GLOBAUX-04-I_2_1,14:11:38,15:33:38,410
20C-GLOBAUX-04-I_2_1,15:33:38,15:40:25,407
20C-GLOBAUX-04-I_2_1,15:40:25,16:00:55,410
20C-GLOBAUX-04-I_2_1,16:00:55,16:08:10,435
20C-GLOBAUX-04-I_2_1,16:08:10,17:36:10,440
20C-GLOBAUX-04-I_2_1,17:36:10,17:51:10,450
20C-GLOBAUX-04-I_2_1,17:51:10,18:46:00,470
20C-GLOBAUX-04-I_2_1,18:46:00,18:53:49,469
20C-GLOBAUX-04-I_2_1,18:53:49,19:01:39,470
20C-GLOBAUX-04-I_2_1,19:01:39,19:09:28,469
20C-GLOBAUX-04-I_2_1,19:09:28,19:32:58,470
20C-GLOBAUX-04-I_2_1,19:32:58,19:40:46,468
20C-GLOBAUX-04-I_2_1,19:40:46,19:48:36,470
20C-GLOBAUX-04-I_2_1,19:48:36,19:56:48,492
20C-GLOBAUX-04-I_2_1,19:56:48,20:05:18,510
